"proname","groname"
"Alho","Pizzas Salgadas Pequenas"
"Romana","Pizzas Salgadas Pequenas"
"Marguerita","Pizzas Salgadas Pequenas"
"Frango Catupiry","Pizzas Salgadas Pequenas"
"Peperone","Pizzas Salgadas Pequenas"
"Rei Arthur","Pizzas Salgadas Pequenas"
"Foguinho","Pizzas Salgadas Pequenas"
"Camponesa","Pizzas Salgadas Pequenas"
"Atum","Pizzas Salgadas Pequenas"
"Escarola","Pizzas Salgadas Pequenas"
"4 queijos","Pizzas Salgadas Pequenas"
"Portuguesa","Pizzas Salgadas Pequenas"
"Frango Catupiry","Pizzas Salgadas Pequenas"
"Atum","Pizzas Salgadas Pequenas"
"Shitake","Pizzas Salgadas Pequenas"
"Muzzarela","Pizzas Salgadas Pequenas"
"Távola (Pizza Light)","Pizzas Salgadas Pequenas"
"Alicce","Pizzas Salgadas Pequenas"
"Muzzarela","Pizzas Salgadas Pequenas"
"Rei Arthur","Pizzas Salgadas Pequenas"
"Alho","Pizzas Salgadas Pequenas"
"Beringela","Pizzas Salgadas Pequenas"
"Peperone","Pizzas Salgadas Pequenas"
"Calabresa","Pizzas Salgadas Pequenas"
"Escarola","Pizzas Salgadas Pequenas"
"Alicce","Pizzas Salgadas Pequenas"
"Portuguesa","Pizzas Salgadas Pequenas"
"Camponesa","Pizzas Salgadas Pequenas"
"Foguinho","Pizzas Salgadas Pequenas"
"4 queijos","Pizzas Salgadas Pequenas"
"25 VIGEVANO","PIZZE DI VERDURE (Grande)"
"27 IMOLA","PIZZE DI VERDURE (Grande)"
"26 VITERBO","PIZZE DI VERDURE (Grande)"
"24 VITTORIO","PIZZE DI VERDURE (Grande)"
"23 VINCENZA","PIZZE DI VERDURE (Grande)"
"27 IMOLA","PIZZE DI VERDURE (Pequena)"
"25 VIGEVANO","PIZZE DI VERDURE (Pequena)"
"23 VICENZA","PIZZE DI VERDURE (Pequena)"
"24 VITTORIO","PIZZE DI VERDURE (Pequena)"
"26 VITERBO","PIZZE DI VERDURE (Pequena)"
"18 VENEZIA","PIZZE SPECIALI (Grande)"
"14 SAVONA","PIZZE SPECIALI (Grande)"
"21 SIENA","PIZZE SPECIALI (Grande)"
"16 NAPOLI","PIZZE SPECIALI (Grande)"
"19 VERONA","PIZZE SPECIALI (Grande)"
"17 GENOVA","PIZZE SPECIALI (Grande)"
"15 MILANO","PIZZE SPECIALI (Grande)"
"20 VIAREGGIO","PIZZE SPECIALI (Grande)"
"22 CAPRI","PIZZE SPECIALI (Grande)"
"17 GENOVA","PIZZE SPECIALI (Pequeno)"
"21 SIENA","PIZZE SPECIALI (Pequeno)"
"20 VIAREGGIO","PIZZE SPECIALI (Pequeno)"
"22 CAPRI","PIZZE SPECIALI (Pequeno)"
"16 NAPOLI","PIZZE SPECIALI (Pequeno)"
"18 VENEZIA","PIZZE SPECIALI (Pequeno)"
"15 MILANO","PIZZE SPECIALI (Pequeno)"
"14 SAVONA","PIZZE SPECIALI (Pequeno)"
"19 VERONA","PIZZE SPECIALI (Pequeno)"
"3 MARSALA","PIZZE TRADIZIONALI ( Grande )"
"1 TOSCANA","PIZZE TRADIZIONALI ( Grande )"
"8 TURIM","PIZZE TRADIZIONALI ( Grande )"
"4 REGGIO CALABRIA","PIZZE TRADIZIONALI ( Grande )"
"2 FOGGIA","PIZZE TRADIZIONALI ( Grande )"
"13 PISTOIA","PIZZE TRADIZIONALI ( Grande )"
"12 PISA","PIZZE TRADIZIONALI ( Grande )"
"10 ANCONA","PIZZE TRADIZIONALI ( Grande )"
"7 ROMA","PIZZE TRADIZIONALI ( Grande )"
"9 BOLOGNA","PIZZE TRADIZIONALI ( Grande )"
"6 PIACENZA","PIZZE TRADIZIONALI ( Grande )"
"5 MODENA","PIZZE TRADIZIONALI ( Grande )"
"11 AREZZO","PIZZE TRADIZIONALI ( Grande )"
"2 FOGGIA","PIZZE TRADIZIONALI ( Pequena)"
"9 BOLOGNA ","PIZZE TRADIZIONALI ( Pequena)"
"4 REGGIO CALABRIA","PIZZE TRADIZIONALI ( Pequena)"
"11 AREZZO ","PIZZE TRADIZIONALI ( Pequena)"
"13 PISTOIA","PIZZE TRADIZIONALI ( Pequena)"
"12 PISA ","PIZZE TRADIZIONALI ( Pequena)"
"1 TOSCANA ","PIZZE TRADIZIONALI ( Pequena)"
"8 TURIM ","PIZZE TRADIZIONALI ( Pequena)"
"6 PIACENZA","PIZZE TRADIZIONALI ( Pequena)"
"7 ROMA","PIZZE TRADIZIONALI ( Pequena)"
"5 MODENA","PIZZE TRADIZIONALI ( Pequena)"
"3 MARSALA","PIZZE TRADIZIONALI ( Pequena)"
"10 ANCONA","PIZZE TRADIZIONALI ( Pequena)"
"Porção Fries (G)","Porção Fries"
"Porção Fries (M)","Porção Fries"
"Porção Onion rings (M)","Porção Fries"
"Farofa Torrada (100g)","Porção Individual"
"Baião de Dois","Porção Individual"
"Arroz Branco","Porção Individual"
"Farofa de Ovos com Banana e Azeitonas","Porção Individual"
"Banana frita (120g)","Porção Individual"
"Farofa de Ovos","Porção Individual"
"Purê de batatas","Porção Individual"
"Farinha do Uarini","Porção Individual"
"3 LINGUIÇA DE FATIADA - FRANGO","PORCO - Costela BBQ"
"2 INTERO RIPAS","PORCO - Costela BBQ"
"1 INDIVIDUAL RIPAS","PORCO - Costela BBQ"
"3 LINGUIÇA FATIADA - PORCO","PORCO - Costela BBQ"
"Fritas Básica","Porções"
"Bolinhos de Bacalhau","Porções"
"Porção de Carne de Sol (100 gramas)","Porções"
"Porção de Vinagrete","Porções"
"Porção de Bolinho de Bacalhau (12 unidades)","Porções"
"Fritas com Cheddar","Porções"
"Porção de Camarão empanado (12 unidades)","Porções"
"Porção de Bolinho de Salmão (12 unidades)","Porções"
"Porção de Maionese","Porções"
"Porção de Farofa","Porções"
"Porção de Laranja","Porções"
"Porção de Feijão Foguinho","Porções"
"Porção de Linguiça Toscana (4 unidade)","Porções"
"Porção de Linguiça de Frango (4 unidades)","Porções"
"Porção de Frango Desossado (100 gramas)","Porções"
"Porção de Gohan","Porções"
"Porção de Couve à mineira","Porções"
"Porção de Torresmo de 150 gramas","Porções"
"Porção de Torresmo de 75 gramas","Porções"
"Porção de Arroz","Porções"
"Porção de Arroz com brócolis","Porções"
"Porção de Feijão tropeiro","Porções"
"Porção de Cream Cheese","Porções"
"Porção de Cebolinha","Porções"
"Porção de Lula empanada (12 unidades)","Porções"
"Tempurá de Camarão","Porções"
"Porção de pão","Porções"
"Porção de Alho torrado","Porções"
"Porção de Cebola empanada","Porções"
"Fritas com Cheddar + Bacon","Porções"
"Farofa Crocante","Porções Avulsas"
"Batatas Rústicas","Porções Avulsas"
"Batatas Picantes","Porções Avulsas"
"Molho Madeira","Porções Avulsas"
"Arroz com Brócolis","Porções Avulsas"
"Batatas Souteé","Porções Avulsas"
"Arroz Branco","Porções Avulsas"
"Arroz à Grega","Porções Avulsas"
"Farofa de ovos","Porções Avulsas"
"Peito de frango grelhado 250g","Porções Avulsas"
"Fusilli ao Alho e Óleo","Porções Avulsas"
"Filé Mignon 250g","Porções Avulsas"
"Legumes ao vapor (cenoura, brócolis e couve-flor)","Porções Avulsas"
"Molho Belle Mèuniere","Porções Avulsas"
"Salada fresca","Porções Avulsas"
"Legumes salteados na manteiga","Porções Avulsas"
"Legumes Refogados","Porções Avulsas"
"Fusilli ao Sugo","Porções Avulsas"
"Legumes Salteados no Azeite Extra Virgem","Porções Avulsas"
"Fusilli ao Bechamel","Porções Avulsas"
"Molho Bechamel","Porções Avulsas"
"Molho Sugo","Porções Avulsas"
"Salmão Grelhado 250g","Porções Avulsas"
"Mix 3 : Melão, Manga, Uva Verde, Tangerina e Kiwi","Pote de Frutas de 250ml"
"Mix 2 : Melão, Abacaxi, Uva Verde, Kiwi e Morango","Pote de Frutas de 250ml"
"Mix 1 : Manga, Uva Verde, Uva Black, Kiwi e Morango","Pote de Frutas de 250ml"
"Mix 3 : Melão, Manga, Uva Verde, Tangerina e Kiwi","Pote de Frutas de 350ml"
"Mix 2 : Melão, Abacaxi, Uva Verde, Kiwi e Morango","Pote de Frutas de 350ml"
"Mix 1 : Manga, Uva Verde, Uva Black, Kiwi e Morango","Pote de Frutas de 350ml"
"42 - Super filex","PRATO ABERTO"
"44 - Super Light","PRATO ABERTO"
"43 - Super Frango","PRATO ABERTO"
"LINGUIÇA DE FRANGO FRITA","PRATOS COMERCIAIS"
"CALABRESA COM OVO","PRATOS COMERCIAIS"
"PICADINHO","PRATOS COMERCIAIS"
"FILÉ DE FRANGO GRELHADO","PRATOS COMERCIAIS"
"PANQUECA DE CARNE","PRATOS COMERCIAIS"
"FÍGADO ACEBOLADO","PRATOS COMERCIAIS"
"BISTECA FRITA","PRATOS EXECUTIVOS"
"CARNE DE SOL NA CHAPA","PRATOS EXECUTIVOS"
"CONTRA FILÉ NA CHAPA","PRATOS EXECUTIVOS"
"Lasanha integral à bolonhesa light","Pratos fit carne"
"Feijoada light (301 kcal) (sem glúten e sem lactose)","Pratos fit carne"
"Macarrão à bolonhesa (252 kcal) (sem glúten e sem lactose)","Pratos fit carne"
"Macarrão à bolonhesa fit plus (252 kcal) (sem glúten e sem lactose)","Pratos fit carne"
"Panqueca à bolonhesa (sem glúten e sem lactose)","Pratos fit carne"
"Panqueca à bolonhesa (sem glúten e sem lactose)","Pratos fit carne"
"Risotto integral de carne com abóbora (241 kcal)","Pratos fit carne"
"Carne imperial fit(241 kcal) (sem glúten e sem lactose)","Pratos fit carne"
"Isca de carne acebolada com arroz integral  (209 kcal)(sem glúten e sem lactose)","Pratos fit carne"
"Estrogonofe de patinho com arroz integral (sem glúten e sem lactose)","Pratos fit carne"
"Patinho em cubos com macaxeira (230 kcal)(sem glúten e sem lactose)","Pratos fit carne"
"Almôndegas de patinho  (229 kcal)(sem glúten e sem lactose)","Pratos fit carne"
"Polpetone de patinho com macarrão ao molho bechamel  (232 kcal)(sem glúten e sem lactose)","Pratos fit carne"
"Patinho moído com legumes e arroz integral  (229 kcal) (sem glúten e sem lactose)","Pratos fit carne"
"Escondidinho de carne na macaxeira (239 kcal) (sem glúten e sem lactose)","Pratos fit carne"
"Frango com ervas finas (239kcal)(sem glúten e sem lactose)","Pratos fit frango"
"Estrogonofe de frango com arroz integral (258kcal)(sem glúten e sem lactose)","Pratos fit frango"
"Frango com batata doce (179 kcal) (sem glúten e sem lactose)","Pratos fit frango"
"Lasanha integral de frango light(278 kcal)","Pratos fit frango"
"Sobrecoxa de frango com fusilli(sem glúten e sem lactose)","Pratos fit frango"
"Frango ao creme de mostarda e arroz integral (221 kcal) (sem glúten e sem lactose)","Pratos fit frango"
"Frango xadrez fit (217 kcal)(sem glúten e sem lactose)","Pratos fit frango"
"Frango com batata doce fit plus (269kcal) (sem glúten e sem lactose)","Pratos fit frango"
"Frango ao molho branco com macarrão (252 kcal) (sem glúten e sem lactose)","Pratos fit frango"
"Jardineira de frango com arroz integral(239 kcal) (sem glúten e sem lactose)","Pratos fit frango"
"Fusilli ao creme de bacalhau  (257 kcal)","Pratos fit peixe"
"Berinjela caprese (vegan sem glúten)","Pratos fit vegetarianos"
"Proteína de soja acebolada","Pratos fit vegetarianos"
"Couve flor gratinada fit","Pratos fit vegetarianos"
"Lasanha integral de ricota com espinafre(285 kcal) (sem glúten, vegan e low carb)","Pratos fit vegetarianos"
"Chef 02 Alcatra","Pratos Individuais"
"Chef 02 Picanha","Pratos Individuais"
"Chef 02 Carne de Sol","Pratos Individuais"
"Isca de frango","Pratos Quentes"
"Camarão empanado","Pratos Quentes"
"Salmão Grelhado","Pratos Quentes"
"Isca mista","Pratos Quentes"
"Isca de carne","Pratos Quentes"
"Batata Rústica","Prazo Limitado"
"Fritas","Prazo Limitado"
"Matador de Fome","Premium"
"Mais Gostoso","Premium"
"Magnífico","Premium"
"Mega Crocante","Premium"
"Matador de Fome Especial","Premium"
"3 xSalada + 2 Kikão + Guaraná Real 2 litros","Promoção"
"Imperdível! Leve três trufas e pague apenas por duas. Válido para pagamentos à vista.","Promoção"
"2 Australian Burguer","Promoção"
"2 Clássicos + 2 Antarctica lata 15% OFF","Promoção"
"Brochete de filé mignon à grega","Promoção"
"2 Crispy Chicx 20%OFF","Promoção"
"Medalhão especial para 2 pessoas","Promoção"
"2 pizzas grandes","Promoção"
"Pague 5 e leve 6 longneck","Promoção"
"3 Caseiro Dog","Promoção"
"Kikão Especial + Guaraná Antarctica + Batata frita","Promoção"
"Super Combo! Duas Coca-colas ","Promoção"
"Combo família","Promoção"
"2 Red Dog + 2 Antarctica lata","Promoção"
"4 Kikão Especial 30% OFF","Promoção"
"Combinado 02 - Alcatra","Promoção de combos"
"Combinado 02 - Carne de Sol","Promoção de combos"
"Combinado 01 - Carne de Sol","Promoção de combos"
"Combinado 01 - Alcatra","Promoção de combos"
"Combinado 01 - Picanha","Promoção de combos"
"Promoção Carne de sol + 1 refrigerante","Promoção de combos"
"Combinado 02 - Picanha","Promoção de combos"
"Combo Friends","Promoção do Dia"
"Triplo American Burger","Promoção do Dia"
"Combo Crush ","Promoção do Dia"
"BURGER EM DOBRO","Promoção do Dia"
"Triplo WTF Burger","Promoção do Dia"
"1 Banda (média)  de Tambaqui + 1 Matrinxã Assada + Guaraná Regente 1.5L (para 5 pessoas)","Promoções"
"1 Banda (média)  de Tambaqui + 1 Banda (pequena) + Guaraná Regente 1.5L (para 5 pessoas)","Promoções"
"TRILEX","PROMOÇOES E FILEX"
"75 - CALABRESA COM FRITAS","PROMOÇOES E FILEX"
"69 - Filé Mignon com Fritas","PROMOÇOES E FILEX"
"73 - FILÉ DE FRANGO COM FRITAS","PROMOÇOES E FILEX"
"Quesadilla de cerdo","Quesadillas"
"Quesadilla de carne","Quesadillas"
"Quesadilla pollo","Quesadillas"
"Quesadilla de soja","Quesadillas"
"Quesadilla queso","Quesadillas"
"Quesadilla de chilli beans","Quesadillas"
"Quesadilla el mariachi","Quesadillas"
"baré","Refrigerante"
"Coca-cola zero em lata 300 ml","Refrigerante"
"Fanta Uva em lata 300 ml","Refrigerante"
"Coca-cola em lata 300 ml","Refrigerante"
"TUCHAUA CHAMP","Refrigerante"
"Sprite em lata 300 ml","Refrigerante"
"Quaraná real 2L","REFRIGERANTE"
"Coca lata 350ml","REFRIGERANTE"
"Baré 2 litros","Refrigerantes"
"Refrigerante 1 litro","Refrigerantes"
"Refrigerante em lata 350ml","Refrigerantes"
"Fanta","Refris"
"Baré","Refris"
"Guaraná Antarctica Zero","Refris"
"Pepsi","Refris"
"Coca-Cola","Refris"
"Soda","Refris"
"Guaraná Antarctica","Refris"
"REVESTIMENTO INCOPISOS BELLA 32X57 HD40050 (2M2) 12767","Revestimentos"
"REVESTIMENTO  ROCHA FORTE TRIUNFO 33X57 ALPES (2,5M2) 14230","Revestimentos"
"REVESTIMENTO ROCHA FORTE 33X57 HD57719 (2,5M2) 16414","Revestimentos"
"REVESTIMENTO ROCHA FORTE TRIUNFO 33X57 HD MARSELHA (2,5M2) 13932","Revestimentos"
"Balde Duplo (2 pessoas) 1 litro","Salada Caesar"
"Balde Família (até 5 pessoas) 1.8 litros ","Salada Caesar"
"Balde Individual (1 pessoa brocada) 500 ml","Salada Caesar"
"Balde Grande Família (até 10 pessoas) 3.6 litros","Salada Caesar"
"Salada fresca 100g","Saladas"
"Legumes  salteados no azeite 200g","Saladas"
"Legumes ao vapor 100g","Saladas"
"Salada fresca 200g","Saladas"
"Legumes  salteados no azeite 100g","Saladas"
"Legumes ao vapor 200g","Saladas"
"Risole de Carne (50 Unidades (10g cada)","Salgadinhos Fritos"
"Risole de Carne (100 Unidades (20g cada)","Salgadinhos Fritos"
"Bolinho de 3 queijos (25 Unidades. (20g cada)","Salgadinhos Fritos"
"Bolinho de 3 queijos (100 Unidades. (20g cada)","Salgadinhos Fritos"
"Salgadinho de Pizza (100 Unidades (10g cada)","Salgadinhos Fritos"
"Risole de Carne (100 Unidades (10g cada)","Salgadinhos Fritos"
"Salgadinho de Pizza (50 Unidades (10g cada)","Salgadinhos Fritos"
"Salgadinho de Pizza (25 Unidades (20g cada)","Salgadinhos Fritos"
"Coxinha de Frango (50 Unidades (10g cada)","Salgadinhos Fritos"
"Coxinha de Frango (100 Unidades (20g cada)","Salgadinhos Fritos"
"Risole de Carne (25 Unidades (20g cada)","Salgadinhos Fritos"
"Salgadinho de Pizza (100 Unidades (20g cada)","Salgadinhos Fritos"
"Bolinho de 3 queijos (50 Unidades. (10g cada))","Salgadinhos Fritos"
"Bolinho de 3 queijos (100 Unidades. (10g cada)","Salgadinhos Fritos"
"Coxinha de Frango (25 Unidades (20g cada)","Salgadinhos Fritos"
"Coxinha de Frango (100 Unidades (10g cada)","Salgadinhos Fritos"
"Bacon com Cheddar de 20g - 25 unidades (20g cada)","Salgadinhos Fritos especiais"
"Boliviano de 20g - 25 unidades (20g cada)","Salgadinhos Fritos especiais"
"Boliviano de 20g - 100 unidades (20g cada)","Salgadinhos Fritos especiais"
"Bacon com Cheddar de 20g - 100 unidades (20g cada)","Salgadinhos Fritos especiais"
"Salgadinho de Feijoada de 20g - 100 unidades (20g cada)","Salgadinhos Fritos especiais"
"Calabresa com Catupiry de 20g - 25 unidades (20g cada)","Salgadinhos Fritos especiais"
"Salgadinho de Feijoada de 20g - 25 unidades (20g cada)","Salgadinhos Fritos especiais"
"Salgadinho de Hot Dog de 20g - 25 unidades (20g cada)","Salgadinhos Fritos especiais"
"Calabresa com Catupiry de 20g - 100 unidades (20g cada)","Salgadinhos Fritos especiais"
"Salgadinho de Hot Dog de 20g -100 unidades (20g cada)","Salgadinhos Fritos especiais"
"Kibe de 20g -   Minus   1   Plus 50 unidades (20g cada)","Salgadinhos Fritos especiais"
"Salgadinho de Mortadela de 20g - 25 unidades (20g cada)","Salgadinhos Fritos especiais"
"Mussarela com Alho de 20g - 100 unidades (20g cada)","Salgadinhos Fritos especiais"
"Salgadinho de Mortadela de 20g - 100 unidades (20g cada)","Salgadinhos Fritos especiais"
"Mussarela com Alho de 20g - 25 unidades (20g cada)","Salgadinhos Fritos especiais"
"Pão de Queijo Frito de 20g - 25 unidades (20g cada)","Salgadinhos Fritos especiais"
"Salgadinho de Strogonoff de 20g - 100 unidades (20g cada)","Salgadinhos Fritos especiais"
"Pão de Queijo Frito de 20g - 100 unidades (20g cada)","Salgadinhos Fritos especiais"
"Salgadinho de Strogonoff de 20g - 25 unidades (20g cada)","Salgadinhos Fritos especiais"
"Bolinho de Bacalhau 20g - 100 unidades (20g cada)","Salgadinhos Fritos mais que especiais"
"Bolinho de Bacalhau 20g - 25 unidades (20g cada)","Salgadinhos Fritos mais que especiais"
"Coxinha de Frango","Salgados"
"Quiche de Bacalhau","Salgados"
"Quibe de Carne (unidade)","Salgados"
"Croissant com Queijo","Salgados Assados"
"Esfirra de frango","Salgados Assados"
"Pão de batata de catupiry","Salgados Assados"
"Pão de batata de Peru/Ricota","Salgados Assados"
"Folheado de queijo com presunto","Salgados Assados"
"Jacaré de Queijo e Presunto","Salgados Assados"
"Pastel de forno de banana (25 unidades 30g)","Salgados Assados"
"Croissant Simples","Salgados Assados"
"Esfirra de carne","Salgados Assados"
"pão de queijo (25 unidades)","Salgados Assados"
"Trança: Tucumã, queijo e banana","Salgados Assados"
"Pastel de forno de frango","Salgados Assados"
"Pastel de forno de cupuaçu","Salgados Assados"
"Empada de Cebola, Queijo e Nozes","Salgados Assados"
"Pastel de forno de camarão","Salgados Assados"
"Folheado de queijo","Salgados Assados"
"Folheado de Bacalhau","Salgados Assados"
"Empada Integral de Frango com Ricota","Salgados Assados"
"Folheado de salsicha","Salgados Assados"
"Empada de Camarão","Salgados Assados"
"Empada de Frango","Salgados Assados"
"Empada de Banana","Salgados Assados"
"Pork","Sandubas"
"Guará","Sandubas"
"Wolfinho","Sandubas"
"Sinistro","Sandubas"
"Matador","Sandubas"
"Alpha","Sandubas"
"Caçador","Sandubas"
"Vulcão","Sandubas"
"Vira-lata","Sandubas"
"14 - FRANGO COM BACON","SANDUÍCHE DE FILÉ DE FRANGO"
"16 - FRANGO ACEBOLADA COM BACON","SANDUÍCHE DE FILÉ DE FRANGO"
"13 - FRANGO ACEBOLADO","SANDUÍCHE DE FILÉ DE FRANGO"
"12 - FRANGO COM ABACAXI","SANDUÍCHE DE FILÉ DE FRANGO"
"20 - SUPER FRANGO","SANDUÍCHE DE FILÉ DE FRANGO"
"15 - FRANGO COM OMELETE","SANDUÍCHE DE FILÉ DE FRANGO"
"18 - FRANGO COM BACON E OMELETE","SANDUÍCHE DE FILÉ DE FRANGO"
"11 - FRANGO COM QUEIJO","SANDUÍCHE DE FILÉ DE FRANGO"
"19 - BIG FRANGO","SANDUÍCHE DE FILÉ DE FRANGO"
"17 - FRANGO ACEBOLADO COM OMELETE","SANDUÍCHE DE FILÉ DE FRANGO"
"10 - SUPER FILEX ","SANDUICHE DE FILÉ MIGNON"
"1 - FILEX DE QUEIJO","SANDUICHE DE FILÉ MIGNON"
"3 - FILEX ACEBOLADO","SANDUICHE DE FILÉ MIGNON"
"4 - FILEX COM BACON","SANDUICHE DE FILÉ MIGNON"
"5 - FILEX OMELETE","SANDUICHE DE FILÉ MIGNON"
"2 - FILÉ DE ABACAXI","SANDUICHE DE FILÉ MIGNON"
"6 - FILEX ACEBOLADO COM BACON","SANDUICHE DE FILÉ MIGNON"
"7 - FILEX ACEBOLADO COM OMELETE ","SANDUICHE DE FILÉ MIGNON"
"8 - FILEX COM BACON E OMELETE","SANDUICHE DE FILÉ MIGNON"
"9 - BIG FILEX","SANDUICHE DE FILÉ MIGNON"
"RED DOG BACON","SANDUÍCHES"
"Mistão","SANDUÍCHES"
"Street burger chicken","SANDUÍCHES"
"Street burger classic","SANDUÍCHES"
"X - salada especial","SANDUÍCHES"
"X - bacon","SANDUÍCHES"
"X - salsicha","SANDUÍCHES"
"X - egg","SANDUÍCHES"
"X - salada","SANDUÍCHES"
"Red Dog Bacon + Batata rústica","SANDUÍCHES"
"RNK Burger Chicken + Batata rústíca","SANDUÍCHES"
"Hambúrguer","SANDUÍCHES"
"Bauru","SANDUÍCHES"
"Street burger cheddar","SANDUÍCHES"
"Galo fight + Batata rústica","SANDUÍCHES"
"Misto","SANDUÍCHES"
"Street burger bacon","SANDUÍCHES"
"Street burger picanha","SANDUÍCHES"
" Street burger salad","SANDUÍCHES"
"X- salada bacon","SANDUÍCHES"
"Street burger costela","SANDUÍCHES"
"Street Burger EUA","SANDUÍCHES"
"Street burger cupim","SANDUÍCHES"
"X- burguer","SANDUÍCHES"
"X - calabresa","SANDUÍCHES"
"X- tudo","SANDUÍCHES"
"X - maionese","SANDUÍCHES"
"Street Burger Cheddar Onions","SANDUÍCHES"
" Street burger chef","SANDUÍCHES"
"RED DOG","SANDUÍCHES"
"31 - Peito de peru","SANDUÍCHES LIGHT"
" 32 - Peito de peru com Abacaxi","SANDUÍCHES LIGHT"
"56 - Americano","SANDUÍCHES TRADICIONAIS"
"59 - X- Hamburguer Simples","SANDUÍCHES TRADICIONAIS"
" 57 - X - Bauru","SANDUÍCHES TRADICIONAIS"
"52 - X- EGG","SANDUÍCHES TRADICIONAIS"
"55 - X - Bacon","SANDUÍCHES TRADICIONAIS"
"54 - X- Maionese","SANDUÍCHES TRADICIONAIS"
"51 - X- Salada","SANDUÍCHES TRADICIONAIS"
"53 - X- Burgger","SANDUÍCHES TRADICIONAIS"
"Sashimi de Salmão (4 peças)","Sashimi"
"Sashimi de Salmão (12 peças)","Sashimi"
"Sashimi de Salmão (10 peças)","Sashimi"
"Sashimi de Salmão (8 peças)","Sashimi"
"Sashimi de Salmão (6 peças)","Sashimi"
"Sashimi de  Kani (12 unidades)","Sashimi"
"Sashimi de  Kani (6 unidades)","Sashimi"
"Sashimi de Camarão (12 unidades)","Sashimi"
"Sashimi de Camarão Alho e Óleo (12 unidades)","Sashimi"
"Sashimi 1/2 Camarão (6 unidades)","Sashimi"
"Kani Kama","Sashimi (Porção 6 cortes)"
"Mini Joy","Sashimi (Porção 6 cortes)"
"Sashimi Salmão","Sashimi (Porção 6 cortes)"
"Banana frita com açúcar e canela","Sobremesa"
"Mousse de ovomaltine","Sobremesa"
"Mousse","Sobremesa"
"Mousse de cupuaçu com chocolate","Sobremesa"
"Mousse de cupuaçu","Sobremesa"
"Mousse de farinha láctea","Sobremesa"
"Mousse de chocolate","Sobremesa"
"Mousse de limão com chocolate","Sobremesa"
"Mousse pavê de sonho de valsa","Sobremesa"
"Pudim de leite","Sobremesa"
"Sobremesa Sorvete (1 Bola)","Sobremesas"
"Sobremesa Taça de Sorvete (Morango com Chantilly)","Sobremesas"
"Sobremesa Bolo","Sobremesas"
"Sobremesa Pote da Felicidade","Sobremesas"
"Sobremesa Brigadeiro","Sobremesas"
"Sobremesa Sorvete (2 Bolas)","Sobremesas"
"Sobremesa Bolo no Pote","Sobremesas"
"Sobremesa Trufa","Sobremesas"
"Pastel de Belém (1 unidade )","Sobremesas - Doces"
"Tortinha de Nutella (1 unidade )","Sobremesas - Doces"
"Torta de Leite Ninho com Brigadeiro (1 unidade )","Sobremesas - Doces"
"Tortinha de Cupuaçu com Brigadeiro (1 unidade )","Sobremesas - Doces"
"Supremo dark morango","Sobremesas dukan"
"Supremo dark maracujá","Sobremesas dukan"
"Supremo de maracujá dukan light e diet 100g","Sobremesas dukan"
"Supremo dark cupuaçu","Sobremesas dukan"
"Supremo de cupuaçú dukan light e diet 100g","Sobremesas dukan"
"Supremo de morango dukan light e diet 100g","Sobremesas dukan"
"Sopa de feijão fit (163 kcal) (sem glúten e sem lactose)","Sopas fit"
"Canja fit (153 kcal) (sem glúten e sem lactose)","Sopas fit"
"Sopa creme de abóbora ao leite de coco e frango (212 kcal) (sem glúten e sem lactose)","Sopas fit"
"Sopa de carne fit  (153 kcal) (sem glúten e sem lactose)","Sopas fit"
"Sopa de frango fit (147kcal) (sem glúten e sem lactose)","Sopas fit"
"Balde Família (até 5 pessoas)","Strogonoff de Alcatra no Balde"
"Balde Individual (1 pessoa brocada)","Strogonoff de Alcatra no Balde"
"Balde Duplo (2 pessoas)","Strogonoff de Alcatra no Balde"
"Balde Grande Família (até 10 pessoas)","Strogonoff de Alcatra no Balde"
"Graviola","Sucos"
"Maracujá","Sucos"
"Goiaba","Sucos"
"Acerola","Sucos"
"Abacaxi","Sucos"
"Suco de Laranja 100% Natural 300ml","Sucos"
"Suco de Laranja - Natural One 300ml","Sucos"
"Suco de Maçã - Natural One 300ml","Sucos"
"Suco de Goiaba - Natural One 300ml","Sucos"
"Suco de uva - Natural One 300ml","Sucos"
"Suco Veggies 100% Natural 300ml","Sucos"
"Suco de Goiaba","SUCOS"
"Suco de manga","SUCOS"
"Suco de abacaxi","SUCOS"
"Suco de cupuaçu","SUCOS"
"Suco de tapereba (cajá)","SUCOS"
"Suco de maracuja","SUCOS"
"Suco de morango","SUCOS"
"Suco de caju","SUCOS"
"Suco de Uva - Natural One","Sucos naturais"
"Suco Veggies - Natural One","Sucos naturais"
"Chá mate natural one 300ml","Sucos naturais"
"Suco de Maçã -  Natural One","Sucos naturais"
"Suco de Goiaba - Natural One","Sucos naturais"
"Suco de Laranja - Natural One","Sucos naturais"
"Chá verde chanberry natural one 300ml","Sucos naturais"
"Água mineral","Sucos naturais"
"Schwepper Citrus","Sucos naturais"
"Limonada","Sucos Naturais 300ml"
"Abacaxi com Hortelã","Sucos Naturais 300ml"
"Maracujá","Sucos Naturais 300ml"
"Graviola","Sucos Naturais 300ml"
"Detox","Sucos Naturais 300ml"
"Laranja","Sucos Naturais 300ml"
"Morango","Sucos Naturais 300ml"
"Acerola","Sucos Naturais 300ml"
"Cupuaçu","Sucos Naturais 300ml"
"Melancia com Gengibre","Sucos Naturais 300ml"
